1,0,29195,43825,9282,31229,5906,50954,0
2,1000,25806,44442,18236,36911,1463,47472,0
3,2000,23260,43932,28667,42234,0,42591,0
4,3000,21771,42030,39296,46602,1735,36821,0
5,4000,21005,39070,49002,49537,6667,30682,0
6,5000,21015,35503,56880,50948,14034,24729,0
7,6000,22509,31686,61851,50586,23229,19595,0
8,7000,25232,28089,64352,48393,33333,15898,0
9,8000,28687,25000,65489,44751,43439,13769,0
10,9000,32567,22877,62743,39922,52554,13518,0
11,10000,36370,21736,56344,34436,59637,15200,0
12,11000,39746,21095,47429,28771,64061,18674,0
13,12000,42285,21575,37035,23457,65534,23540,0
14,13000,43770,23459,26426,19092,63818,29294,0
15,14000,44547,26407,16715,16152,58911,35425,0
16,15000,44558,29968,8791,14730,51564,41378,0
17,16000,43080,33788,3740,15077,42380,46520,0
18,17000,40365,37396,1205,17257,32275,50232,0
19,18000,36902,40507,103,20898,22146,52377,0
20,19000,33009,42662,2870,25734,13004,52636,0
21,20000,29193,43825,9286,31231,5903,50953,0
22,21000,25806,44441,18238,36912,1464,47471,0
23,22000,23260,43931,28670,42235,0,42590,0
24,23000,21771,42029,39299,46602,1736,36820,0
25,24000,21008,39068,48999,49533,6676,30680,0
26,25000,21018,35500,56877,50944,14043,24727,0
27,26000,22509,31686,61852,50586,23231,19594,0
28,27000,25231,28089,64355,48394,33332,15898,0
29,28000,28690,24998,65486,44748,43445,13768,0
30,29000,32568,22877,62740,39919,52558,13518,0
31,30000,36370,21736,56343,34436,59637,15201,0
32,31000,39748,21094,47425,28768,64064,18675,0
33,32000,42286,21576,37032,23456,65534,23541,0
34,33000,43770,23460,26423,19092,63817,29296,0
35,34000,44547,26408,16712,16151,58910,35426,0
36,35000,44558,29969,8789,14730,51561,41380,0
37,36000,43079,33789,3739,15077,42378,46521,0
38,37000,40363,37397,1204,17258,32272,50232,0
39,38000,36901,40507,104,20899,22143,52377,0
40,39000,33008,42663,2872,25735,13003,52635,0
41,40000,29192,43826,9289,31233,5902,50952,0
42,41000,25805,44441,18241,36913,1464,47470,0
43,42000,23259,43931,28673,42236,0,42588,0
44,43000,21770,42029,39302,46603,1737,36818,0
45,44000,21008,39067,49001,49533,6678,30679,0
46,45000,21018,35500,56879,50944,14045,24726,0
47,46000,22509,31685,61854,50586,23233,19593,0
48,47000,25232,28089,64356,48393,33335,15897,0
49,48000,28691,24998,65486,44747,43447,13768,0
50,49000,32569,22876,62739,39918,52560,13519,0
51,50000,36371,21736,56341,34434,59638,15202,0
52,51000,39749,21094,47422,28767,64064,18676,0
53,52000,42287,21576,37029,23455,65533,23543,0
54,53000,43770,23461,26421,19091,63816,29297,0
55,54000,44548,26408,16710,16151,58908,35428,0
56,55000,44558,29970,8788,14730,51559,41381,0
57,56000,43079,33790,3738,15078,42375,46522,0
58,57000,40363,37398,1204,17259,32270,50233,0
59,58000,36900,40508,104,20900,22141,52377,0
60,59000,33008,42663,2873,25737,13001,52635,0
61,60000,29191,43826,9291,31234,5900,50951,0
62,61000,25805,44441,18243,36914,1463,47469,0
63,62000,23259,43931,28676,42237,0,42587,0
64,63000,21771,42028,39304,46604,1738,36817,0
65,64000,21009,39066,49003,49534,6679,30677,0
66,65000,21019,35499,56880,50944,14047,24725,0
67,66000,22510,31684,61854,50585,23235,19593,0
68,67000,25233,28088,64356,48392,33337,15897,0
69,68000,28691,24997,65485,44745,43449,13768,0
70,69000,32570,22876,62738,39917,52562,13519,0
71,70000,36372,21736,56339,34433,59639,15202,0
72,71000,39750,21094,47420,28765,64065,18677,0
73,72000,42287,21577,37026,23453,65533,23544,0
74,73000,43770,23461,26418,19090,63815,29299,0
75,74000,44548,26409,16707,16151,58907,35429,0
76,75000,44557,29971,8786,14730,51557,41382,0
77,76000,43078,33791,3737,15078,42373,46523,0
78,77000,40362,37399,1203,17260,32267,50233,0
79,78000,36899,40508,104,20901,22139,52378,0
80,79000,33007,42663,2874,25738,12999,52634,0
81,80000,29190,43826,9293,31235,5899,50950,0
82,81000,25804,44441,18246,36916,1463,47468,0
83,82000,23259,43930,28678,42239,1,42585,0
84,83000,21770,42027,39306,46605,1739,36815,0
85,84000,21009,39065,49005,49534,6681,30676,0
86,85000,21019,35498,56881,50944,14049,24724,0
87,86000,22511,31683,61855,50585,23238,19592,0
88,87000,25233,28087,64356,48391,33340,15896,0
89,88000,28692,24997,65485,44744,43451,13768,0
90,89000,32571,22875,62736,39916,52563,13519,0
91,90000,36373,21736,56337,34431,59640,15203,0
92,91000,39750,21094,47418,28764,64065,18678,0
93,92000,42287,21577,37024,23452,65533,23545,0
94,93000,43770,23462,26416,19089,63814,29300,0
95,94000,44548,26410,16706,16150,58905,35431,0
96,95000,44557,29972,8785,14730,51554,41384,0
97,96000,43078,33792,3737,15079,42370,46524,0
98,97000,40361,37399,1204,17261,32264,50234,0
99,98000,36898,40509,106,20903,22137,52378,0
100,99000,33006,42663,2876,25739,12997,52634,0
101,100000,29189,43826,9295,31237,5898,50949,0
102,101000,25803,44441,18248,36917,1463,47467,0
103,102000,23258,43929,28681,42240,1,42584,0
104,103000,21770,42027,39308,46606,1740,36814,0
105,104000,21008,39065,49007,49535,6682,30675,0
