1,0,44783,18060,33933,40414,33797,24848,39912,32875,25617,23957,36623,35625,0
2,1000,46443,18169,32076,39993,34176,24911,37702,33606,27361,24438,36175,35574,0
3,2000,47679,18826,30031,39537,34445,25100,35733,33656,29648,24967,35847,35334,0
4,3000,48366,19978,27991,39111,34567,25387,34202,33022,32245,25484,35669,34939,0
5,4000,48442,21507,26154,38748,34527,25754,33251,31768,34908,25943,35662,34419,0
6,5000,47903,23249,24711,38478,34337,26164,32973,30020,37370,26300,35826,33825,0
7,6000,46798,25039,23803,38334,34032,26554,33395,27959,39377,26519,36136,33228,0
8,7000,45231,26708,23516,38328,33637,26892,34472,25778,40749,26582,36563,32680,0
9,8000,43373,28083,23871,38459,33177,27161,36099,23685,41358,26478,37076,32229,0
10,9000,41404,29031,24832,38696,32719,27330,38109,21897,41138,26225,37611,31921,0
11,10000,39503,29465,26314,39017,32308,27383,40310,20581,40117,25852,38120,31783,0
12,11000,37863,29346,28160,39414,31960,27316,42503,19853,38389,25378,38560,31833,0
13,12000,36644,28690,30186,39840,31707,27141,44462,19794,36125,24857,38887,32065,0
14,13000,35962,27549,32210,40240,31579,26882,45995,20411,33546,24346,39070,32448,0
15,14000,35877,26037,34036,40596,31594,26542,46963,21644,30888,23885,39087,32959,0
16,15000,36399,24310,35479,40881,31751,26147,47264,23380,28413,23520,38932,33553,0
17,16000,37484,22528,36397,41054,32027,25754,46862,25444,26379,23290,38627,34157,0
18,17000,39037,20856,36704,41092,32412,25395,45796,27640,24975,23217,38198,34719,0
19,18000,40893,19464,36371,40986,32882,25096,44164,29759,24343,23317,37678,35183,0
20,19000,42870,18495,35426,40751,33372,24898,42131,31575,24554,23575,37128,35500,0
21,20000,44787,18046,33944,40410,33825,24827,39899,32912,25587,23961,36604,35641,0
22,21000,46452,18155,32083,39980,34206,24897,37679,33643,27343,24449,36155,35584,0
23,22000,47691,18814,30034,39517,34474,25093,35701,33689,29644,24982,35829,35338,0
24,23000,48380,19968,27988,39087,34592,25388,34166,33049,32256,25501,35655,34935,0
