1,0,28959,43625,23078,30349,14220,56019,41553,4991,53141,26232,61359,8091,0
2,1000,28959,43625,23078,35709,11103,54261,48771,4508,46603,16544,63004,16035,0
3,2000,28959,43625,23078,41007,9319,51215,54518,6445,39057,8475,61569,25587,0
4,3000,28959,43625,23078,45802,9057,47096,58242,10621,31220,2776,57178,35868,0
5,4000,28959,43625,23078,49646,10334,42305,59580,16624,23866,0,50267,45864,0
6,5000,28959,43625,23077,52130,12966,37403,58400,23856,17727,425,41547,54549,0
7,6000,28959,43625,23077,52987,16751,32839,54812,31620,13397,4028,31837,61092,0
8,7000,28959,43625,23077,52128,21382,28994,49166,39164,11294,10458,22059,64884,0
9,8000,28959,43625,23077,49705,26296,26283,42026,45729,11628,19050,13229,65535,0
10,9000,28959,43625,23077,45939,31006,24991,34086,50680,14365,28973,6207,62973,0
11,10000,28959,43625,23077,41101,35131,25259,26110,53539,19246,39306,1645,57436,0
12,11000,28959,43625,23077,35734,38252,27019,18894,54020,25784,48995,0,49491,0
13,12000,28959,43625,23077,30438,40035,30064,13148,52082,33330,57062,1437,39940,0
14,13000,28959,43625,23077,25643,40290,34190,9423,47905,41169,62760,5832,29654,0
15,14000,28959,43625,23077,21800,39006,38989,8088,41900,48522,65535,12747,19656,0
16,15000,28959,43625,23077,19324,36367,43890,9269,34668,54660,65104,21470,10973,0
17,16000,28959,43625,23077,18470,32584,48449,12856,26906,58989,61502,31177,4432,0
18,17000,28959,43625,23077,19330,27960,52287,18503,19363,61090,55070,40952,646,0
19,18000,28959,43625,23077,21762,23046,54990,25644,12798,60756,46474,49781,0,0
20,19000,28959,43625,23077,25530,18336,56280,33582,7847,58019,36553,56802,2561,0
21,20000,28959,43625,23078,30348,14222,56018,41555,4991,53139,26230,61359,8094,0
22,21000,28959,43625,23078,35709,11104,54260,48771,4510,46602,16544,63003,16037,0
23,22000,28959,43625,23078,41007,9320,51214,54518,6446,39056,8475,61567,25589,0
24,23000,28959,43625,23078,45799,9059,47097,58242,10623,31218,2777,57175,35870,0
25,24000,28959,43625,23078,49645,10335,42305,59578,16626,23866,2,50264,45864,0
26,25000,28959,43625,23077,52127,12968,37404,58398,23858,17727,428,41544,54549,0
27,26000,28959,43625,23077,52984,16752,32841,54811,31622,13397,4030,31835,61091,0
28,27000,28959,43625,23077,52128,21381,28995,49163,39165,11295,10461,22057,64883,0
29,28000,28959,43625,23077,49704,26296,26284,42023,45731,11629,19054,13228,65532,0
30,29000,28959,43625,23077,45937,31006,24994,34085,50681,14367,28976,6207,62970,0
31,30000,28959,43625,23077,41102,35129,25260,26108,53539,19248,39308,1646,57434,0
32,31000,28959,43625,23077,35734,38250,27021,18892,54020,25787,48996,1,49489,0
33,32000,28959,43625,23077,30438,40034,30066,13148,52081,33332,57062,1439,39937,0
34,33000,28959,43625,23077,25646,40289,34190,9424,47903,41171,62759,5834,29653,0
35,34000,28959,43625,23077,21802,39005,38989,8088,41898,48523,65533,12750,19655,0
36,35000,28959,43625,23077,19326,36366,43890,9271,34667,54661,65102,21472,10972,0
37,36000,28959,43625,23077,18472,32583,48448,12858,26904,58989,61499,31179,4433,0
38,37000,28959,43625,23077,19332,27960,52286,18505,19362,61090,55067,40953,647,0
39,38000,28959,43625,23077,21763,23047,54988,25646,12797,60754,46472,49781,1,0
40,39000,28959,43625,23077,25533,18335,56276,33584,7847,58017,36549,56803,2564,0
41,40000,28959,43625,23078,30349,14223,56016,41556,4992,53138,26229,61357,8096,0
42,41000,28959,43625,23078,35707,11107,54259,48773,4510,46599,16542,63001,16040,0
43,42000,28959,43625,23078,41005,9322,51214,54518,6447,39054,8475,61565,25591,0
44,43000,28959,43625,23078,45800,9060,47096,58242,10624,31217,2778,57173,35871,0
45,44000,28959,43625,23078,49642,10337,42305,59578,16628,23864,2,50262,45866,0
46,45000,28959,43625,23077,52126,12968,37404,58398,23859,17726,429,41542,54550,0
47,46000,28959,43625,23077,52984,16752,32841,54809,31624,13397,4032,31833,61091,0
48,47000,28959,43625,23077,52125,21382,28997,49162,39166,11295,10463,22056,64882,0
49,48000,28959,43625,23077,49703,26295,26286,42022,45731,11630,19055,13228,65531,0
50,49000,28959,43625,23077,45938,31004,24994,34083,50681,14368,28977,6207,62968,0
51,50000,28959,43625,23077,41100,35128,25262,26107,53538,19250,39309,1647,57431,0
52,51000,28959,43625,23077,35735,38249,27022,18892,54018,25788,48996,2,49486,0
53,52000,28959,43625,23077,30440,40031,30066,13147,52080,33334,57062,1441,39935,0
54,53000,28959,43625,23077,25646,40287,34191,9424,47902,41172,62759,5836,29651,0
55,54000,28959,43625,23077,21804,39004,38989,8089,41896,48524,65532,12752,19654,0
56,55000,28959,43625,23077,19328,36365,43889,9271,34665,54661,65101,21474,10972,0
57,56000,28959,43625,23077,18474,32583,48447,12859,26903,58989,61498,31181,4433,0
58,57000,28959,43625,23077,19334,27960,52284,18507,19361,61089,55065,40954,648,0
59,58000,28959,43625,23077,21764,23047,54987,25647,12797,60754,46470,49782,3,0
60,59000,28959,43625,23077,25526,18340,56279,33584,7848,58016,36552,56801,2564,0
61,60000,28959,43625,23078,30350,14224,56015,41559,4991,53135,26225,61358,8099,0
62,61000,28959,43625,23078,35708,11108,54258,48772,4512,46599,16543,62999,16042,0
63,62000,28959,43625,23078,41006,9323,51213,54518,6449,39053,8475,61563,25593,0
64,63000,28959,43625,23078,45796,9063,47096,58242,10626,31215,2778,57171,35873,0
65,64000,28959,43625,23078,49641,10337,42305,59576,16630,23864,5,50259,45866,0
66,65000,28959,43625,23077,52123,12970,37405,58395,23862,17727,433,41539,54549,0
67,66000,28959,43625,23077,52980,16754,32844,54808,31625,13397,4035,31831,61091,0
68,67000,28959,43625,23077,52125,21381,28997,49159,39168,11296,10466,22055,64880,0
69,68000,28959,43625,23077,49702,26294,26288,42019,45732,11631,19058,13227,65529,0
70,69000,28959,43625,23077,45935,31004,24997,34081,50681,14370,28980,6207,62966,0
71,70000,28959,43625,23077,41102,35126,25263,26105,53538,19251,39310,1648,57429,0
72,71000,28959,43625,23077,35735,38247,27023,18890,54018,25790,48998,4,49484,0
73,72000,28959,43625,23077,30439,40031,30068,13147,52078,33335,57062,1443,39933,0
74,73000,28959,43625,23077,25649,40285,34190,9424,47900,41174,62757,5839,29649,0
75,74000,28959,43625,23077,21806,39002,38988,8090,41895,48526,65531,12754,19653,0
76,75000,28959,43625,23077,19330,36365,43888,9273,34663,54662,65098,21477,10972,0
77,76000,28959,43625,23077,18476,32582,48446,12861,26901,58989,61494,31183,4434,0
78,77000,28959,43625,23077,19335,27960,52283,18509,19360,61089,55063,40955,649,0
79,78000,28959,43625,23077,21765,23048,54985,25650,12796,60752,46467,49783,5,0
80,79000,28959,43625,23077,25532,18339,56275,33587,7847,58014,36546,56802,2568,0
81,80000,28959,43625,23078,30349,14225,56014,41559,4992,53134,26226,61356,8101,0
82,81000,28959,43625,23078,35707,11109,54256,48774,4512,46596,16541,62998,16044,0
83,82000,28959,43625,23078,41004,9325,51212,54519,6450,39050,8474,61561,25596,0
84,83000,28959,43625,23078,45795,9064,47096,58241,10627,31214,2780,57168,35875,0
85,84000,28959,43625,23078,49640,10339,42305,59576,16632,23863,6,50257,45868,0
86,85000,28959,43625,23077,52121,12971,37406,58395,23863,17726,434,41537,54550,0
87,86000,28959,43625,23077,52979,16754,32844,54806,31627,13397,4038,31829,61090,0
88,87000,28959,43625,23077,52123,21381,28999,49158,39169,11296,10469,22053,64879,0
89,88000,28959,43625,23077,49700,26294,26289,42018,45733,11632,19061,13226,65527,0
90,89000,28959,43625,23077,45935,31003,24998,34079,50681,14371,28982,6207,62964,0
91,90000,28959,43625,23077,41101,35125,25265,26104,53538,19253,39312,1648,57426,0
92,91000,28959,43625,23077,35735,38246,27024,18890,54017,25792,48999,5,49481,0
93,92000,28959,43625,23077,30441,40028,30068,13146,52077,33337,57062,1445,39931,0
94,93000,28959,43625,23077,25649,40284,34191,9424,47899,41175,62757,5841,29648,0
95,94000,28959,43625,23077,21808,39001,38988,8091,41893,48526,65529,12757,19652,0
96,95000,28959,43625,23077,19331,36364,43888,9274,34662,54662,65096,21479,10971,0
97,96000,28959,43625,23077,18478,32582,48445,12862,26900,58989,61493,31184,4434,0
98,97000,28959,43625,23077,19337,27960,52281,18511,19358,61088,55060,40957,651,0
99,98000,28959,43625,23077,21766,23048,54983,25651,12795,60751,46465,49783,7,0
100,99000,28959,43625,23077,25535,18338,56272,33589,7846,58013,36543,56803,2571,0
101,100000,28959,43625,23078,30349,14227,56012,41560,4992,53133,26224,61355,8103,0
102,101000,28959,43625,23078,35706,11111,54255,48775,4512,46594,16540,62997,16047,0
103,102000,28959,43625,23078,41003,9327,51211,54520,6451,39049,8474,61559,25598,0
104,103000,28959,43625,23078,45795,9064,47095,58242,10629,31213,2780,57166,35877,0
105,104000,28959,43625,23078,49637,10340,42306,59576,16633,23861,6,50255,45869,0
106,105000,28959,43625,23077,52121,12971,37406,58394,23864,17725,435,41536,54551,0
107,106000,28959,43625,23077,52978,16754,32845,54804,31628,13397,4039,31827,61090,0
108,107000,28959,43625,23077,52120,21381,29001,49157,39170,11296,10470,22053,64879,0
109,108000,28959,43625,23077,49699,26293,26291,42017,45733,11633,19062,13226,65526,0
110,109000,28959,43625,23077,45939,31000,24998,34078,50681,14372,28982,6209,62963,0
111,110000,28959,43625,23077,41100,35124,25267,26102,53537,19255,39314,1649,57424,0
112,111000,28959,43625,23077,35735,38244,27026,18890,54016,25793,48999,7,49480,0
113,112000,28959,43625,23077,30443,40027,30068,13146,52076,33338,57062,1447,39929,0
114,113000,28959,43625,23077,25651,40282,34191,9424,47897,41176,62756,5843,29646,0
115,114000,28959,43625,23077,21808,39000,38988,8093,41891,48527,65527,12759,19651,0
116,115000,28959,43625,23077,19334,36362,43886,9276,34660,54663,65094,21481,10971,0
117,116000,28959,43625,23077,18480,32581,48443,12863,26898,58989,61490,31186,4435,0
118,117000,28959,43625,23077,19337,27961,52280,18513,19357,61087,55057,40958,652,0
119,118000,28959,43625,23077,21768,23049,54982,25654,12794,60750,46462,49784,9,0
120,119000,28959,43625,23077,25532,18341,56272,33589,7847,58012,36544,56801,2571,0
