1,0,17450,44742,40135,31545,22959,40513,31309,21400,42787,38708,36537,24897,38708,36537,24897,0
2,1000,16405,43111,42923,32509,23075,39396,33283,22488,39503,37959,36600,25708,37959,36600,25708,0
3,2000,16083,40822,45512,33208,23518,38173,34510,24625,36138,37360,36334,26649,37360,36334,26649,0
4,3000,16516,38109,47644,33579,24240,36966,34865,27604,33025,36974,35762,27627,36974,35762,27627,0
5,4000,17668,35226,49112,33578,25166,35905,34310,31125,30480,36837,34947,28538,36837,34947,28538,0
6,5000,19430,32453,49769,33202,26216,35089,32902,34854,28741,36962,33964,29300,36962,33964,29300,0
7,6000,21618,30068,49558,32485,27292,34590,30774,38426,27982,37343,32904,29837,37343,32904,29837,0
8,7000,24021,28307,48493,31509,28275,34462,28143,41477,28282,37935,31880,30094,37935,31880,30094,0
9,8000,26412,27341,46672,30365,29066,34725,25263,43713,29607,38681,30994,30048,38681,30994,30048,0
10,9000,28549,27261,44284,29152,29599,35352,22410,44924,31830,39515,30324,29701,39515,30324,29701,0
11,10000,30222,28075,41565,28001,29820,36274,19875,44980,34730,40349,29942,29087,40349,29942,29087,0
12,11000,31266,29712,38773,27035,29700,37398,17905,43882,38018,41098,29882,28274,41098,29882,28274,0
13,12000,31584,32005,36183,26337,29251,38627,16684,41738,41382,41694,30153,27332,41694,30153,27332,0
14,13000,31146,34723,34053,25972,28523,39836,16337,38757,44488,42078,30727,26355,42078,30727,26355,0
15,14000,29990,37605,32592,25980,27593,40893,16897,35239,47024,42213,31542,25447,42213,31542,25447,0
16,15000,28226,40374,31940,26363,26543,41702,18305,31518,48756,42086,32523,24688,42086,32523,24688,0
17,16000,26040,42754,32153,27083,25470,42194,20429,27955,49511,41705,33580,24155,41705,33580,24155,0
18,17000,23640,44509,33220,28057,24494,42316,23054,24911,49213,41115,34600,23898,41115,34600,23898,0
19,18000,21254,45472,35038,29195,23709,42053,25926,22677,47893,40372,35484,23942,40372,35484,23942,0
20,19000,19121,45554,37421,30401,23179,41428,28775,21463,45679,39540,36153,24287,39540,36153,24287,0
21,20000,17449,44744,40135,31546,22959,40513,31310,21399,42786,38708,36537,24897,38708,36537,24897,0
22,21000,16403,43113,42923,32509,23074,39396,33285,22487,39502,37959,36600,25708,37959,36600,25708,0
23,22000,16081,40823,45514,33209,23517,38172,34512,24624,36137,37360,36334,26649,37360,36334,26649,0
24,23000,16514,38109,47646,33580,24239,36965,34866,27604,33024,36974,35762,27627,36974,35762,27627,0
25,24000,17666,35226,49114,33579,25166,35904,34311,31126,30479,36837,34947,28538,36837,34947,28538,0
26,25000,19429,32452,49771,33202,26216,35088,32902,34855,28740,36962,33964,29300,36962,33964,29300,0
27,26000,21618,30066,49560,32485,27293,34589,30775,38427,27981,37343,32904,29837,37343,32904,29837,0
28,27000,24021,28305,48495,31509,28276,34461,28142,41478,28281,37936,31880,30094,37936,31880,30094,0
29,28000,26412,27339,46674,30365,29066,34724,25262,43715,29607,38681,30994,30048,38681,30994,30048,0
30,29000,28550,27259,44285,29151,29600,35352,22409,44925,31830,39515,30324,29701,39515,30324,29701,0
31,30000,30224,28072,41565,28001,29820,36274,19874,44981,34730,40349,29942,29087,40349,29942,29087,0
32,31000,31268,29710,38772,27035,29701,37398,17903,43883,38019,41098,29883,28274,41098,29883,28274,0
33,32000,31586,32004,36182,26337,29251,38627,16683,41738,41383,41694,30153,27332,41694,30153,27332,0
34,33000,31148,34722,34051,25971,28523,39836,16336,38757,44489,42078,30727,26355,42078,30727,26355,0
35,34000,29991,37605,32589,25979,27593,40893,16896,35238,47026,42212,31542,25447,42212,31542,25447,0
36,35000,28227,40375,31938,26363,26543,41703,18305,31517,48757,42086,32523,24688,42086,32523,24688,0
37,36000,26041,42755,32151,27082,25470,42195,20429,27953,49512,41705,33580,24155,41705,33580,24155,0
38,37000,23640,44511,33218,28057,24493,42317,23054,24910,49214,41114,34600,23898,41114,34600,23898,0
39,38000,21254,45475,35036,29195,23709,42053,25927,22675,47894,40372,35484,23942,40372,35484,23942,0
40,39000,19120,45556,37420,30402,23179,41429,28776,21461,45680,39540,36153,24287,39540,36153,24287,0
