1,0,37853,49172,5968,19257,16362,59566,0
2,1000,35873,56835,6846,27741,8699,58688,0
3,2000,33711,62440,10506,37008,3094,55028,0
4,3000,31579,65437,16631,46145,97,48903,0
5,4000,29685,65535,24678,54261,0,40856,0
6,5000,28213,62766,33803,60572,2768,31731,0
7,6000,27306,57411,43110,64458,8123,22424,0
8,7000,27055,49872,51690,65535,15662,13845,0
9,8000,27477,40961,58709,63723,24573,6825,0
10,9000,28525,31554,63482,59231,33980,2052,0
11,10000,30118,22575,65535,52407,42959,0,0
12,11000,32096,14898,64674,43927,50636,860,0
13,12000,34260,9275,61024,34653,56259,4510,0
14,13000,36396,6261,54899,25500,59273,10635,0
15,14000,38295,6156,46841,17364,59378,18693,0
16,15000,39770,8929,37697,11040,56605,27837,0
17,16000,40678,14300,28372,7150,51234,37162,0
18,17000,40927,21859,19781,6082,43675,45753,0
19,18000,40500,30787,12762,7910,34747,52772,0
20,19000,39448,40201,8002,12423,25333,57532,0
21,20000,37850,49176,5969,19267,16358,59565,0
22,21000,35871,56836,6850,27752,8698,58684,0
23,22000,33709,62438,10513,37017,3096,55022,0
24,23000,31577,65431,16639,46152,103,48895,0
25,24000,29684,65525,24687,54266,9,40847,0
26,25000,28212,62754,33811,60573,2780,31723,0
27,26000,27306,57397,43117,64456,8137,22418,0
28,27000,27056,49857,51694,65529,15677,13840,0
29,28000,27479,40946,58710,63715,24588,6824,0
30,29000,28528,31541,63479,59221,33993,2055,0
31,30000,30122,22563,65528,52390,42971,6,0
32,31000,32100,14890,64665,43910,50644,869,0
33,32000,34264,9270,61012,34637,56264,4522,0
34,33000,36400,6260,54885,25485,59274,10649,0
35,34000,38297,6159,46827,17352,59375,18708,0
36,35000,39772,8934,37684,11032,56600,27850,0
37,36000,40679,14307,28360,7146,51227,37174,0
38,37000,40927,21867,19771,6081,43667,45763,0
39,38000,40500,30794,12756,7912,34740,52778,0
40,39000,39447,40208,7999,12426,25326,57535,0
41,40000,37849,49180,5970,19272,16354,59564,0
42,41000,35870,56837,6854,27757,8697,58680,0
43,42000,33708,62436,10519,37021,3098,55015,0
44,43000,31577,65426,16653,46155,109,48881,0
45,44000,29684,65516,24701,54266,18,40833,0
46,45000,28213,62742,33825,60570,2792,31709,0
47,46000,27308,57383,43129,64449,8151,22406,0
48,47000,27058,49842,51703,65519,15692,13831,0
49,48000,27482,40932,58716,63702,24603,6818,0
50,49000,28532,31527,63482,59205,34007,2052,0
51,50000,30126,22552,65528,52373,42982,6,0
52,51000,32105,14882,64661,43892,50652,874,0
53,52000,34268,9265,61006,34620,56269,4528,0
54,53000,36403,6259,54877,25471,59275,10657,0
55,54000,38300,6161,46818,17341,59373,18716,0
56,55000,39774,8940,37676,11023,56594,27859,0
57,56000,40680,14318,28353,7141,51216,37181,0
58,57000,40928,21880,19768,6079,43654,45767,0
59,58000,40500,30808,12755,7913,34727,52779,0
60,59000,39446,40219,8002,12430,25315,57532,0
61,60000,37848,49190,5977,19277,16345,59557,0
62,61000,35868,56844,6863,27762,8690,58671,0
63,62000,33707,62439,10531,37026,3095,55003,0
64,63000,31576,65425,16661,46157,109,48873,0
65,64000,29684,65512,24709,54266,22,40825,0
66,65000,28214,62736,33833,60566,2798,31701,0
67,66000,27310,57375,43135,64441,8159,22399,0
68,67000,27061,49833,51707,65508,15701,13827,0
69,68000,27485,40922,58717,63688,24612,6817,0
70,69000,28535,31519,63479,59189,34015,2055,0
71,70000,30128,22547,65521,52361,42988,13,0
72,71000,32107,14879,64651,43880,50655,883,0
73,72000,34271,9266,60994,34609,56268,4540,0
74,73000,36405,6264,54864,25462,59270,10671,0
75,74000,38301,6169,46804,17335,59365,18730,0
76,75000,39775,8950,37662,11020,56584,27872,0
77,76000,40680,14326,28342,7142,51208,37193,0
78,77000,40927,21888,19758,6084,43646,45776,0
79,78000,40498,30815,12749,7920,34719,52785,0
80,79000,39444,40226,8000,12440,25308,57534,0
81,80000,37846,49194,5978,19288,16340,59556,0
82,81000,35866,56845,6868,27773,8689,58666,0
83,82000,33704,62436,10538,37035,3098,54996,0
84,83000,31574,65419,16669,46165,115,48865,0
85,84000,29683,65503,24718,54271,31,40816,0
86,85000,28214,62724,33841,60568,2810,31693,0
87,86000,27310,57361,43142,64440,8173,22392,0
88,87000,27062,49818,51711,65503,15716,13823,0
89,88000,27487,40908,58718,63680,24627,6816,0
90,89000,28538,31506,63477,59178,34028,2057,0
91,90000,30132,22535,65515,52344,42999,19,0
92,91000,32111,14871,64642,43863,50663,892,0
93,92000,34274,9262,60982,34593,56272,4552,0
94,93000,36408,6263,54850,25447,59271,10684,0
95,94000,38304,6172,46790,17323,59362,18745,0
96,95000,39777,8956,37649,11012,56579,27886,0
97,96000,40681,14334,28330,7137,51201,37204,0
98,97000,40927,21896,19749,6082,43638,45785,0
99,98000,40498,30823,12744,7922,34711,52791,0
100,99000,39443,40232,7997,12444,25302,57537,0
101,100000,37844,49198,5979,19293,16336,59555,0
102,101000,35865,56846,6872,27778,8688,58662,0
103,102000,33703,62434,10544,37040,3100,54990,0
104,103000,31574,65413,16678,46167,121,48857,0
105,104000,29683,65494,24727,54270,40,40807,0
106,105000,28214,62712,33849,60564,2822,31685,0
107,106000,27312,57347,43148,64432,8187,22386,0
108,107000,27065,49803,51716,65492,15731,13819,0
109,108000,27491,40893,58719,63666,24641,6815,0
110,109000,28541,31492,63474,59163,34042,2060,0
111,110000,30136,22524,65509,52327,43010,25,0
112,111000,32115,14863,64632,43845,50671,902,0
113,112000,34278,9257,60970,34576,56277,4564,0
114,113000,36412,6262,54836,25433,59272,10698,0
115,114000,38307,6174,46775,17311,59360,18759,0
116,115000,39779,8961,37635,11004,56573,27899,0
117,116000,40682,14345,28318,7132,51189,37216,0
118,117000,40927,21910,19740,6081,43624,45794,0
119,118000,40497,30837,12738,7924,34698,52797,0
120,119000,39442,40244,7995,12448,25290,57539,0
121,120000,37843,49208,5980,19298,16327,59554,0
122,121000,35863,56853,6876,27784,8681,58658,0
123,122000,33702,62437,10551,37044,3097,54983,0
124,123000,31573,65413,16686,46170,121,48848,0
125,124000,29683,65490,24736,54270,44,40798,0
126,125000,28215,62705,33858,60560,2829,31676,0
127,126000,27313,57338,43155,64425,8196,22379,0
128,127000,27067,49793,51720,65481,15741,13814,0
129,128000,27494,40883,58720,63653,24651,6814,0
130,129000,28545,31484,63472,59147,34050,2062,0
131,130000,30139,22518,65503,52315,43016,31,0
132,131000,32118,14860,64623,43833,50674,911,0
133,132000,34281,9258,60958,34565,56276,4576,0
134,133000,36414,6267,54823,25424,59267,10711,0
135,134000,38308,6182,46761,17305,59352,18773,0
136,135000,39779,8972,37621,11001,56562,27913,0
137,136000,40682,14354,28306,7133,51181,37228,0
138,137000,40926,21918,19731,6086,43616,45803,0
139,138000,40495,30845,12732,7932,34690,52803,0
140,139000,39439,40251,7992,12457,25283,57542,0
141,140000,37841,49212,5981,19309,16322,59553,0
142,141000,35861,56854,6881,27795,8680,58653,0
143,142000,33700,62435,10558,37054,3099,54976,0
144,143000,31571,65407,16700,46178,127,48834,0
145,144000,29682,65481,24751,54275,53,40784,0
146,145000,28215,62693,33872,60562,2841,31663,0
147,146000,27314,57324,43167,64424,8210,22367,0
148,147000,27068,49778,51730,65476,15756,13805,0
149,148000,27496,40869,58726,63644,24666,6808,0
150,149000,28548,31471,63474,59136,34063,2060,0
151,150000,30143,22507,65502,52298,43027,32,0
152,151000,32122,14852,64619,43816,50682,915,0
153,152000,34285,9253,60951,34549,56281,4583,0
154,153000,36417,6266,54814,25409,59268,10720,0
155,154000,38311,6185,46752,17293,59349,18782,0
156,155000,39781,8977,37613,10993,56557,27921,0
157,156000,40683,14361,28299,7129,51173,37235,0
158,157000,40926,21926,19727,6085,43608,45807,0
159,158000,40495,30853,12731,7934,34682,52803,0
160,159000,39439,40258,7995,12461,25276,57539,0
161,160000,37839,49216,5988,19315,16318,59546,0
162,161000,35859,56855,6891,27800,8679,58643,0
163,162000,33699,62433,10571,37059,3101,54964,0
164,163000,31571,65401,16708,46181,133,48826,0
165,164000,29682,65472,24760,54275,62,40775,0
166,165000,28216,62681,33880,60559,2853,31654,0
167,166000,27316,57310,43174,64416,8224,22360,0
168,167000,27071,49763,51734,65466,15771,13800,0
169,168000,27499,40854,58727,63631,24680,6807,0
170,169000,28551,31457,63472,59120,34077,2062,0
171,170000,30147,22496,65496,52280,43038,38,0
172,171000,32126,14844,64609,43798,50690,925,0
173,172000,34289,9249,60939,34532,56285,4595,0
174,173000,36421,6265,54800,25395,59269,10734,0
175,174000,38314,6187,46738,17282,59347,18796,0
176,175000,39783,8983,37600,10985,56551,27935,0
177,176000,40684,14373,28288,7124,51161,37247,0
178,177000,40927,21940,19717,6084,43594,45817,0
179,178000,40495,30866,12725,7936,34668,52809,0
180,179000,39438,40270,7993,12466,25264,57541,0
181,180000,37838,49226,5989,19320,16308,59545,0
182,181000,35858,56862,6895,27806,8672,58639,0
183,182000,33698,62436,10577,37064,3098,54957,0
184,183000,31570,65400,16717,46183,134,48817,0
185,184000,29682,65468,24769,54275,66,40765,0
186,185000,28216,62675,33889,60555,2860,31645,0
187,186000,27317,57297,43181,64409,8237,22353,0
188,187000,27073,49748,51738,65455,15786,13796,0
189,188000,27502,40839,58728,63617,24695,6806,0
190,189000,28555,31443,63469,59104,34091,2065,0
191,190000,30150,22485,65490,52268,43050,45,0
192,191000,32129,14836,64599,43786,50698,935,0
193,192000,34291,9244,60927,34521,56290,4607,0
194,193000,36423,6264,54787,25385,59270,10747,0
195,194000,38315,6190,46724,17275,59344,18810,0
196,195000,39784,8988,37586,10982,56546,27948,0
197,196000,40684,14380,28276,7125,51154,37259,0
198,197000,40926,21949,19708,6088,43586,45826,0
199,198000,40493,30874,12719,7943,34660,52815,0
200,199000,39435,40277,7991,12475,25258,57543,0
201,200000,37836,49230,5990,19331,16304,59544,0
202,201000,35855,56863,6900,27817,8671,58635,0
203,202000,33695,62434,10584,37074,3100,54950,0
204,203000,31568,65395,16725,46192,139,48809,0
205,204000,29681,65458,24778,54281,76,40756,0
206,205000,28216,62663,33897,60557,2872,31637,0
207,206000,27318,57283,43188,64408,8251,22346,0
208,207000,27074,49733,51743,65450,15801,13791,0
209,208000,27504,40824,58730,63609,24710,6804,0
210,209000,28558,31430,63467,59094,34104,2067,0
211,210000,30154,22473,65483,52251,43061,51,0
212,211000,32133,14828,64590,43769,50706,944,0
213,212000,34295,9240,60915,34504,56294,4619,0
214,213000,36426,6264,54773,25371,59271,10761,0
215,214000,38318,6193,46709,17264,59341,18825,0
216,215000,39786,8994,37572,10974,56540,27962,0
217,216000,40685,14388,28264,7121,51146,37270,0
218,217000,40926,21957,19699,6087,43577,45835,0
219,218000,40492,30882,12713,7945,34652,52821,0
220,219000,39434,40283,7988,12480,25251,57546,0
221,220000,37834,49235,5992,19337,16299,59543,0
222,221000,35854,56865,6904,27823,8670,58630,0
223,222000,33694,62431,10591,37079,3103,54943,0
224,223000,31567,65389,16739,46194,145,48795,0
225,224000,29681,65449,24792,54281,85,40742,0
226,225000,28217,62650,33911,60554,2884,31623,0
227,226000,27319,57269,43201,64401,8265,22333,0
228,227000,27077,49718,51752,65439,15816,13782,0
229,228000,27507,40809,58736,63596,24725,6798,0
230,229000,28561,31416,63470,59078,34118,2064,0
231,230000,30158,22462,65483,52234,43072,51,0
232,231000,32137,14820,64586,43751,50714,948,0
233,232000,34299,9235,60908,34488,56299,4626,0
234,233000,36430,6263,54765,25356,59271,10769,0
235,234000,38321,6196,46700,17252,59339,18834,0
236,235000,39787,8999,37564,10966,56535,27970,0
237,236000,40686,14396,28257,7117,51139,37277,0
238,237000,40926,21965,19695,6087,43569,45839,0
239,238000,40492,30890,12712,7947,34644,52822,0
240,239000,39433,40290,7991,12484,25244,57543,0
241,240000,37833,49239,5998,19342,16295,59536,0
242,241000,35853,56866,6914,27829,8668,58620,0
243,242000,33693,62429,10604,37084,3105,54930,0
244,243000,31567,65383,16748,46197,151,48786,0
245,244000,29681,65440,24801,54281,94,40733,0
246,245000,28218,62639,33920,60551,2896,31614,0
247,246000,27321,57259,43208,64394,8275,22327,0
248,247000,27079,49709,51757,65429,15826,13777,0
249,248000,27510,40800,58738,63582,24734,6796,0
250,249000,28565,31408,63468,59062,34126,2066,0
251,250000,30161,22456,65476,52222,43078,58,0
252,251000,32140,14817,64576,43739,50717,958,0
253,252000,34302,9236,60896,34476,56298,4638,0
254,253000,36432,6267,54751,25347,59267,10783,0
255,254000,38322,6204,46686,17246,59331,18848,0
256,255000,39788,9010,37550,10963,56524,27984,0
257,256000,40685,14408,28245,7118,51126,37289,0
