115,114000,39779,1538,57210,25755,64001,8324,0
116,115000,49378,12,49130,16156,65527,16404,0
117,116000,57342,1681,39444,8192,63858,26090,0
118,117000,62893,6343,29110,2641,59196,36424,0
119,118000,65481,13625,19145,53,51913,46389,0
120,119000,64862,22817,10523,672,42720,55011,0
121,120000,61143,32979,4082,4391,32558,61452,0
122,121000,54661,43109,457,10873,22427,65077,0
123,122000,45968,52217,3,19566,13318,65531,0
124,123000,35984,59417,2723,29550,6117,62811,0
125,124000,25692,64005,8327,39842,1529,57207,0
126,125000,16100,65528,16402,49434,6,49132,0
127,126000,8142,63859,26082,57392,1675,39452,0
128,127000,2594,59202,36409,62940,6332,29126,0
129,128000,3,51927,46369,65531,13608,19165,0
130,129000,618,42741,54991,64917,22795,10544,0
131,130000,4329,32583,61435,61205,32954,4099,0
132,131000,10806,22451,65067,54728,43086,467,0
133,132000,19498,13338,65527,46036,52200,7,0
134,133000,29485,6131,62812,36049,59408,2722,0
135,134000,39784,1536,57207,25750,64003,8327,0
136,135000,49383,11,49127,16151,65528,16407,0
137,136000,57346,1682,39440,8188,63857,26094,0
138,137000,62896,6344,29106,2639,59195,36428,0
139,138000,65483,13627,19142,51,51911,46392,0
140,139000,64862,22820,10520,672,42718,55014,0
141,140000,61143,32981,4081,4391,32556,61453,0
142,141000,54660,43111,456,10874,22425,65078,0
143,142000,45966,52218,4,19568,13317,65530,0
144,143000,35982,59418,2724,29552,6117,62810,0
145,144000,25690,64005,8330,39844,1529,57204,0
146,145000,16099,65526,16405,49435,8,49129,0
147,146000,8142,63856,26085,57392,1678,39449,0
148,147000,2594,59199,36412,62940,6336,29122,0
149,148000,5,51929,46371,65529,13606,19163,0
150,149000,620,42743,54993,64914,22793,10542,0
151,150000,4333,32584,61436,61201,32952,4098,0
152,151000,10810,22453,65067,54724,43085,467,0
153,152000,19503,13340,65526,46031,52198,8,0
154,153000,29490,6134,62809,36044,59405,2725,0
155,154000,39789,1541,57204,25746,63999,8330,0
156,155000,49387,17,49123,16147,65523,16411,0
157,156000,57349,1688,39436,8185,63851,26098,0
158,157000,62898,6351,29103,2636,59187,36431,0
159,158000,65484,13629,19139,50,51909,46395,0
160,159000,64862,22822,10518,672,42716,55016,0
161,160000,61142,32983,4079,4392,32553,61455,0
162,161000,54659,43113,456,10876,22423,65078,0
163,162000,45964,52220,4,19570,13315,65530,0
164,163000,35980,59418,2726,29554,6116,62808,0
165,164000,25688,64004,8332,39846,1530,57202,0
166,165000,16098,65524,16408,49437,10,49126,0
167,166000,8141,63854,26088,57393,1681,39446,0
168,167000,2595,59195,36415,62939,6339,29119,0
169,168000,7,51925,46374,65527,13611,19160,0
170,169000,623,42738,54995,64911,22798,10539,0
171,170000,4336,32580,61437,61198,32957,4097,0
172,171000,10814,22449,65067,54720,43089,467,0
173,172000,19508,13337,65525,46026,52202,9,0
174,173000,29495,6131,62807,36039,59408,2727,0
175,174000,39793,1539,57201,25741,64000,8333,0
176,175000,49391,16,49120,16143,65523,16414,0
177,176000,57353,1688,39433,8181,63851,26101,0
178,177000,62900,6353,29099,2634,59186,36435,0
179,178000,65485,13631,19136,49,51907,46399,0
180,179000,64863,22824,10515,671,42713,55019,0
181,180000,61142,32985,4077,4393,32551,61457,0
182,181000,54657,43115,455,10877,22421,65079,0
183,182000,45962,52221,5,19572,13314,65529,0
184,183000,35978,59419,2728,29557,6116,62806,0
185,184000,25686,64004,8334,39848,1530,57200,0
186,185000,16096,65523,16411,49438,11,49123,0
187,186000,8141,63851,26091,57393,1683,39443,0
188,187000,2596,59192,36418,62938,6343,29116,0
189,188000,8,51920,46377,65526,13615,19157,0
190,189000,625,42733,54997,64909,22802,10537,0
191,190000,4340,32575,61438,61195,32962,4096,0
192,191000,10819,22444,65067,54715,43093,467,0
193,192000,19513,13333,65524,46021,52205,10,0
194,193000,29500,6128,62805,36034,59411,2729,0
195,194000,39798,1537,57198,25736,64002,8336,0
196,195000,49395,15,49116,16139,65524,16418,0
197,196000,57356,1689,39429,8178,63850,26105,0
198,197000,62902,6354,29096,2632,59185,36438,0
199,198000,65486,13639,19132,48,51899,46402,0
200,199000,64863,22832,10513,671,42705,55022,0
201,200000,61141,32993,4076,4393,32543,61458,0
202,201000,54656,43123,455,10878,22413,65079,0
203,202000,45960,52228,6,19574,13307,65528,0
204,203000,35976,59425,2729,29559,6110,62805,0
