1,0,8345,58303,26887,47259,8231,35368,2414,53157,40474,0
2,1000,3131,54249,37418,49740,12863,27103,2366,44444,46391,0
3,2000,814,48044,47474,50555,19479,19414,5400,34589,50957,0
4,3000,1674,40310,55881,49632,27428,13082,11188,24541,53759,0
5,4000,5618,31813,62014,47061,35896,8703,19183,15283,54507,0
6,5000,12292,23419,65353,43084,44029,6692,28586,7746,53124,0
7,6000,21047,16064,65535,38092,51014,7231,38507,2704,49700,0
8,7000,31009,10429,62538,32584,56189,10247,47973,508,44666,0
9,8000,41198,6913,56651,27116,59075,15460,56032,1513,38440,0
10,9000,50539,5872,48405,22225,59408,22369,61801,5698,31642,0
11,10000,58041,7432,38620,18377,57179,30306,64988,12370,24943,0
12,11000,63203,11434,28229,15931,52591,38469,65019,21130,19007,0
13,12000,65535,17540,18291,15113,46063,46072,61951,31027,14435,0
14,13000,64759,25169,9929,15995,38217,52362,56123,41097,11646,0
15,14000,60943,33596,3759,18501,29828,56759,48091,50355,10924,0
16,15000,54397,41975,316,22411,21723,58840,38670,57867,12336,0
17,16000,45722,49356,0,27358,14710,58402,28758,62870,15781,0
18,17000,35754,55066,2877,32861,9457,55479,19322,65022,20823,0
19,18000,25476,58684,8700,38362,6476,50320,11302,63992,27039,0
20,19000,16025,59807,16957,43308,6064,43408,5568,59806,33813,0
21,20000,8438,58277,26825,47212,8256,35413,2402,53153,40485,0
22,21000,3213,54247,37337,49697,12866,27162,2363,44432,46401,0
23,22000,878,48067,47382,50522,19460,19482,5403,34573,50966,0
24,23000,1714,40355,55785,49611,27388,13153,11194,24525,53765,0
25,24000,5631,31874,61925,47054,35839,8769,19193,15267,54511,0
26,25000,12275,23492,65280,43092,43961,6746,28599,7732,53124,0
27,26000,21002,16143,65485,38114,50942,7268,38522,2684,49702,0
28,27000,30941,10504,62516,32618,56120,10264,47989,499,44661,0
29,28000,41113,6978,56659,27159,59015,15455,56047,1512,38430,0
30,29000,50446,5919,48442,22272,59363,22342,61813,5702,31632,0
31,30000,57950,7457,38682,18423,57155,30260,64996,12379,24932,0
32,31000,63122,11435,28310,15973,52589,38410,65022,21142,18996,0
33,32000,65472,17518,18383,15145,46084,46004,61949,31042,14426,0
34,33000,64722,25124,10023,16015,38258,52293,56116,41114,11640,0
35,34000,60932,33534,3845,18508,29885,56694,48081,50371,10920,0
36,35000,54415,41902,387,22402,21790,58787,38657,57881,12336,0
37,36000,45768,49279,48,27336,14781,58365,28742,62881,15784,0
38,37000,35822,54993,2898,32827,9526,55462,19306,65029,20829,0
39,38000,25559,58620,8692,38320,6535,50325,11288,63994,27048,0
40,39000,16118,59760,16921,43261,6108,43434,5556,59804,33823,0
41,40000,8530,58252,26763,47166,8281,35457,2394,53145,40496,0
42,41000,3295,54245,37256,49656,12869,27221,2360,44420,46412,0
43,42000,942,48089,47289,50489,19440,19549,5405,34558,50975,0
44,43000,1754,40399,55690,49590,27348,13223,11200,24509,53772,0
45,44000,5643,31936,61837,47047,35782,8834,19204,15251,54514,0
46,45000,12257,23565,65208,43100,43894,6800,28613,7717,53125,0
47,46000,20956,16220,65436,38136,50871,7304,38538,2669,49702,0
48,47000,30873,10578,62495,32652,56051,10281,48004,491,44656,0
49,48000,41028,7042,56666,27202,58955,15450,56061,1511,38421,0
50,49000,50353,5966,48478,22319,59319,22316,61825,5704,31622,0
51,50000,57858,7481,38744,18470,57132,30215,65004,12387,24921,0
52,51000,63041,11435,28390,16014,52587,38350,65025,21155,18985,0
53,52000,65409,17495,18475,15178,46104,45937,61947,31058,14417,0
54,53000,64683,25079,10117,16035,38299,52223,56110,41132,11632,0
55,54000,60921,33473,3932,18514,29941,56630,48070,50387,10917,0
56,55000,54432,41830,458,22394,21856,58734,38643,57896,12335,0
57,56000,45811,49203,96,27314,14851,58329,28727,62898,15783,0
58,57000,35888,54919,2919,32794,9594,55445,19291,65038,20834,0
59,58000,25642,58556,8684,38278,6595,50329,11273,63996,27057,0
60,59000,16209,59713,16885,43215,6153,43459,5544,59801,33833,0
61,60000,8620,58226,26702,47119,8306,35501,2386,53137,40507,0
62,61000,3376,54243,37176,49614,12871,27280,2356,44408,46422,0
