1,0,30369,35676,24836,30481,29520,38370,51199,38746,13896,0
2,1000,29139,36743,25163,32064,28327,37978,44994,46913,12563,0
3,2000,27854,37450,25856,33715,27543,37113,37484,53754,13608,0
4,3000,26638,37713,26855,35276,27247,35859,29394,58524,17004,0
5,4000,25609,37498,28067,36596,27466,34339,21520,60999,22204,0
6,5000,24868,36858,29374,37538,28176,32699,14638,60707,28892,0
7,6000,24497,35851,30654,38010,29307,31094,9470,57695,36353,0
8,7000,24549,34567,31782,37962,30746,29682,6386,52399,43861,0
9,8000,24995,33133,32647,37403,32356,28604,5811,45204,50683,0
10,9000,25786,31683,33158,36389,33983,27971,7762,36870,56137,0
11,10000,26850,30359,33248,35021,35467,27847,12076,28193,59683,0
12,11000,28085,29290,32919,33434,36662,28241,18275,20023,61024,0
13,12000,29373,28584,32222,31779,37446,29110,25784,13175,59986,0
14,13000,30590,28323,31219,30216,37739,30370,33878,8397,56594,0
15,14000,31618,28542,30004,28897,37516,31892,41760,5914,51394,0
16,15000,32355,29187,28696,27959,36801,33534,48650,6204,44700,0
17,16000,32722,30197,27418,27493,35667,35136,53825,9217,37231,0
18,17000,32665,31480,26295,27545,34228,36544,56911,14519,29716,0
19,18000,32218,32911,25435,28106,32621,37616,57480,21726,22890,0
20,19000,31429,34355,24926,29119,31000,38246,55520,30068,17436,0
21,20000,30369,35675,24837,30482,29520,38368,51198,38747,13895,0
22,21000,29138,36742,25164,32064,28328,37977,44993,46915,12562,0
23,22000,27854,37448,25857,33715,27544,37112,37483,53756,13608,0
24,23000,26638,37711,26856,35275,27249,35858,29393,58525,17004,0
25,24000,25610,37497,28067,36595,27467,34339,21519,61000,22204,0
26,25000,24869,36857,29374,37537,28177,32699,14637,60707,28893,0
27,26000,24498,35850,30654,38008,29308,31095,9469,57695,36354,0
28,27000,24551,34566,31781,37960,30747,29682,6385,52399,43862,0
29,28000,24997,33133,32646,37401,32357,28605,5810,45203,50684,0
30,29000,25787,31683,33157,36388,33983,27972,7762,36869,56138,0
31,30000,26851,30359,33247,35020,35467,27848,12076,28192,59684,0
32,31000,28085,29290,32918,33433,36662,28242,18276,20022,61025,0
33,32000,29373,28585,32221,31779,37445,29111,25785,13174,59986,0
34,33000,30590,28325,31218,30216,37737,30371,33879,8396,56594,0
35,34000,31617,28544,30004,28898,37514,31893,41761,5914,51394,0
36,35000,32354,29188,28696,27960,36800,33534,48651,6204,44699,0
37,36000,32720,30198,27419,27494,35666,35136,53826,9217,37230,0
38,37000,32664,31481,26296,27547,34227,36543,56911,14520,29715,0
39,38000,32217,32911,25436,28108,32621,37615,57480,21727,22889,0
40,39000,31428,34355,24928,29120,31000,38244,55520,30069,17435,0
41,40000,30368,35674,24839,30483,29521,38367,51198,38748,13895,0
42,41000,29138,36741,25165,32065,28329,37976,44993,46916,12562,0
43,42000,27854,37447,25858,33715,27546,37111,37482,53757,13608,0
44,43000,26639,37710,26857,35275,27250,35857,29392,58527,17004,0
45,44000,25610,37496,28068,36594,27469,34338,21517,61001,22204,0
46,45000,24870,36855,29374,37536,28178,32699,14636,60707,28893,0
47,46000,24499,35849,30654,38007,29309,31095,9468,57695,36355,0
48,47000,24552,34566,31781,37959,30748,29683,6385,52398,43863,0
49,48000,24998,33132,32645,37400,32357,28607,5810,45202,50685,0
50,49000,25788,31684,33156,36387,33982,27974,7762,36868,56139,0
51,50000,26851,30360,33245,35019,35466,27850,12076,28191,59685,0
52,51000,28086,29292,32917,33433,36661,28243,18276,20021,61025,0
53,52000,29373,28586,32220,31779,37443,29113,25786,13173,59986,0
54,53000,30590,28326,31217,30217,37736,30371,33880,8395,56593,0
55,54000,31616,28545,30003,28899,37513,31894,41762,5913,51393,0
56,55000,32353,29190,28696,27961,36799,33534,48652,6204,44698,0
57,56000,32719,30199,27419,27495,35665,35135,53827,9217,37229,0
58,57000,32663,31481,26296,27548,34227,36543,56912,14520,29714,0
59,58000,32216,32911,25437,28109,32621,37614,57481,21728,22887,0
60,59000,31427,34355,24929,29121,31000,38243,55520,30070,17434,0
61,60000,30367,35674,24840,30484,29521,38366,51198,38750,13894,0
62,61000,29137,36740,25167,32065,28330,37974,44992,46917,12561,0
63,62000,27854,37446,25859,33715,27547,37109,37481,53758,13608,0
64,63000,26639,37709,26858,35274,27251,35856,29391,58528,17004,0
65,64000,25611,37494,28069,36593,27470,34338,21516,61001,22205,0
66,65000,24871,36854,29374,37535,28179,32698,14634,60708,28894,0
67,66000,24500,35848,30654,38006,29310,31095,9467,57695,36356,0
68,67000,24553,34565,31780,37957,30749,29684,6384,52398,43864,0
69,68000,24999,33132,32644,37398,32357,28608,5809,45201,50687,0
70,69000,25789,31684,33154,36386,33982,27975,7762,36867,56140,0
71,70000,26852,30361,33244,35019,35466,27851,12077,28189,59686,0
72,71000,28086,29292,32916,33433,36660,28245,18277,20020,61026,0
73,72000,29373,28587,32219,31779,37442,29114,25787,13172,59986,0
74,73000,30589,28328,31216,30217,37735,30372,33881,8393,56593,0
75,74000,31616,28546,30003,28900,37512,31894,41763,5912,51393,0
76,75000,32352,29191,28696,27962,36797,33534,48653,6203,44698,0
77,76000,32718,30200,27419,27497,35664,35135,53828,9217,37228,0
78,77000,32662,31482,26297,27549,34226,36542,56913,14521,29713,0
79,78000,32215,32911,25437,28110,32620,37613,57481,21728,22886,0
80,79000,31426,34355,24930,29122,31000,38242,55520,30071,17433,0
81,80000,30366,35673,24841,30485,29522,38364,51198,38751,13893,0
82,81000,29137,36739,25168,32065,28331,37973,44991,46918,12561,0
83,82000,27854,37445,25861,33715,27548,37108,37480,53759,13608,0
84,83000,26639,37707,26858,35274,27253,35855,29390,58529,17005,0
85,84000,25612,37493,28069,36592,27471,34337,21515,61002,22205,0
86,85000,24872,36853,29375,37534,28181,32698,14633,60708,28895,0
87,86000,24501,35846,30653,38004,29311,31096,9466,57695,36357,0
88,87000,24554,34564,31779,37956,30749,29684,6383,52398,43865,0
89,88000,25000,33132,32643,37397,32358,28609,5809,45201,50688,0
90,89000,25790,31684,33153,36384,33982,27976,7762,36866,56142,0
91,90000,26853,30361,33243,35018,35465,27853,12077,28188,59687,0
92,91000,28086,29293,32914,33432,36659,28246,18277,20018,61026,0
93,92000,29373,28589,32218,31779,37441,29115,25788,13171,59986,0
94,93000,30589,28329,31216,30218,37733,30373,33882,8392,56593,0
95,94000,31615,28548,30002,28901,37510,31895,41765,5911,51392,0
96,95000,32351,29192,28696,27963,36796,33534,48655,6203,44697,0
97,96000,32717,30201,27419,27498,35663,35135,53829,9218,37227,0
98,97000,32660,31483,26297,27551,34225,36541,56914,14521,29712,0
99,98000,32213,32912,25438,28112,32620,37612,57482,21729,22885,0
100,99000,31425,34355,24931,29123,31000,38241,55520,30072,17432,0
101,100000,30366,35673,24842,30486,29522,38363,51198,38752,13892,0
102,101000,29137,36738,25169,32066,28332,37971,44991,46920,12560,0
103,102000,27854,37443,25862,33715,27549,37107,37479,53761,13607,0
104,103000,26640,37706,26859,35274,27254,35854,29389,58530,17005,0
105,104000,25613,37491,28069,36592,27473,34336,21514,61003,22206,0
106,105000,24873,36851,29375,37533,28182,32698,14632,60709,28896,0
107,106000,24503,35845,30653,38003,29312,31096,9465,57695,36358,0
108,107000,24556,34563,31779,37955,30750,29685,6382,52397,43866,0
109,108000,25001,33132,32642,37396,32358,28610,5808,45200,50689,0
110,109000,25791,31684,33152,36383,33982,27977,7762,36865,56143,0
111,110000,26854,30362,33242,35017,35465,27854,12077,28187,59688,0
112,111000,28087,29294,32913,33432,36658,28247,18278,20017,61027,0
113,112000,29373,28590,32217,31779,37440,29116,25789,13169,59987,0
114,113000,30588,28330,31215,30218,37732,30374,33883,8391,56593,0
115,114000,31614,28549,30001,28902,37509,31895,41766,5911,51392,0
116,115000,32350,29193,28696,27965,36795,33534,48656,6203,44696,0
117,116000,32716,30202,27420,27499,35662,35134,53830,9218,37226,0
118,117000,32659,31483,26298,27552,34224,36541,56915,14521,29711,0
119,118000,32212,32912,25439,28113,32620,37611,57482,21730,22884,0
120,119000,31424,34354,24932,29124,31001,38239,55520,30073,17431,0
121,120000,30365,35672,24844,30486,29523,38361,51197,38753,13891,0
122,121000,29136,36737,25170,32066,28333,37970,44990,46921,12560,0
123,122000,27854,37442,25863,33715,27550,37106,37478,53762,13607,0
124,123000,26640,37705,26860,35273,27256,35853,29388,58531,17005,0
125,124000,25613,37490,28070,36591,27474,34336,21513,61004,22206,0
126,125000,24874,36850,29375,37531,28183,32698,14631,60709,28896,0
127,126000,24504,35844,30653,38002,29313,31096,9464,57695,36359,0
128,127000,24557,34563,31778,37953,30751,29686,6381,52397,43867,0
129,128000,25002,33131,32641,37394,32358,28611,5808,45199,50690,0
130,129000,25792,31684,33151,36382,33982,27979,7762,36864,56144,0
131,130000,26854,30362,33240,35016,35464,27855,12077,28186,59689,0
132,131000,28087,29295,32912,33431,36657,28249,18279,20016,61028,0
133,132000,29373,28591,32216,31779,37439,29117,25790,13168,59987,0
134,133000,30588,28332,31214,30218,37731,30375,33884,8390,56593,0
135,134000,31613,28551,30001,28902,37507,31896,41767,5910,51391,0
136,135000,32349,29195,28696,27966,36794,33535,48657,6202,44695,0
137,136000,32715,30203,27420,27501,35661,35134,53831,9218,37225,0
138,137000,32658,31484,26299,27554,34224,36540,56915,14522,29710,0
139,138000,32211,32912,25440,28114,32619,37610,57483,21731,22883,0
140,139000,31423,34354,24933,29125,31001,38238,55521,30074,17430,0
141,140000,30364,35672,24845,30487,29523,38360,51197,38754,13890,0
142,141000,29136,36736,25171,32067,28334,37969,44990,46922,12559,0
143,142000,27854,37441,25864,33715,27552,37105,37477,53763,13607,0
144,143000,26641,37703,26861,35273,27257,35852,29387,58532,17005,0
145,144000,25614,37489,28070,36590,27475,34335,21512,61004,22207,0
146,145000,24875,36849,29375,37530,28185,32698,14630,60709,28897,0
147,146000,24505,35843,30652,38000,29314,31096,9463,57695,36360,0
148,147000,24558,34562,31777,37952,30751,29686,6380,52397,43869,0
149,148000,25004,33131,32640,37393,32358,28612,5807,45199,50691,0
150,149000,25793,31684,33150,36381,33982,27980,7762,36863,56145,0
151,150000,26855,30363,33239,35015,35463,27857,12078,28184,59689,0
152,151000,28088,29296,32911,33431,36656,28250,18279,20014,61028,0
153,152000,29373,28592,32215,31779,37437,29119,25791,13167,59987,0
154,153000,30588,28333,31213,30219,37729,30376,33886,8389,56593,0
155,154000,31613,28552,30001,28903,37506,31896,41768,5909,51391,0
156,155000,32348,29196,28696,27967,36792,33535,48658,6202,44695,0
157,156000,32713,30204,27420,27502,35660,35134,53832,9218,37225,0
158,157000,32657,31485,26299,27555,34223,36539,56916,14522,29708,0
159,158000,32210,32913,25441,28116,32619,37609,57483,21731,22882,0
160,159000,31422,34354,24934,29126,31001,38237,55521,30075,17429,0
161,160000,30364,35671,24846,30488,29524,38359,51197,38755,13890,0
162,161000,29136,36735,25173,32067,28334,37967,44989,46923,12559,0
163,162000,27854,37440,25865,33715,27553,37103,37477,53764,13607,0
164,163000,26641,37702,26862,35272,27258,35851,29386,58533,17005,0
165,164000,25615,37487,28071,36589,27477,34335,21510,61005,22207,0
166,165000,24876,36848,29375,37529,28186,32698,14629,60710,28898,0
167,166000,24506,35842,30652,37999,29315,31097,9462,57695,36361,0
168,167000,24559,34561,31777,37950,30752,29687,6380,52396,43870,0
169,168000,25005,33131,32639,37392,32359,28613,5807,45198,50692,0
170,169000,25794,31685,33149,36380,33982,27981,7762,36862,56146,0
171,170000,26856,30364,33238,35015,35463,27858,12078,28183,59690,0
172,171000,28088,29297,32910,33430,36655,28252,18280,20013,61029,0
173,172000,29373,28594,32214,31779,37436,29120,25792,13166,59987,0
174,173000,30587,28335,31212,30219,37728,30377,33887,8388,56593,0
175,174000,31612,28553,30000,28904,37505,31897,41769,5908,51390,0
176,175000,32347,29197,28695,27968,36791,33535,48659,6201,44694,0
177,176000,32712,30205,27421,27503,35659,35134,53832,9218,37224,0
178,177000,32656,31485,26300,27556,34222,36539,56917,14523,29707,0
179,178000,32209,32913,25442,28117,32619,37608,57484,21732,22881,0
180,179000,31421,34354,24936,29128,31001,38236,55521,30076,17428,0
181,180000,30363,35670,24847,30489,29525,38357,51197,38757,13889,0
182,181000,29135,36734,25174,32068,28335,37966,44989,46925,12558,0
183,182000,27854,37439,25866,33715,27554,37102,37476,53765,13606,0
184,183000,26641,37701,26863,35272,27259,35850,29385,58534,17005,0
185,184000,25615,37486,28072,36588,27478,34334,21509,61006,22207,0
186,185000,24877,36846,29375,37528,28187,32697,14628,60710,28898,0
187,186000,24507,35841,30652,37998,29316,31097,9461,57695,36361,0
188,187000,24561,34561,31776,37949,30753,29688,6379,52396,43871,0
189,188000,25006,33130,32638,37390,32359,28614,5806,45197,50693,0
190,189000,25795,31685,33148,36379,33982,27982,7761,36861,56147,0
191,190000,26856,30364,33237,35014,35462,27860,12078,28182,59691,0
192,191000,28088,29298,32908,33430,36654,28253,18280,20012,61029,0
193,192000,29373,28595,32212,31779,37435,29121,25792,13165,59988,0
194,193000,30587,28336,31212,30220,37727,30378,33888,8387,56593,0
195,194000,31611,28555,30000,28905,37503,31897,41770,5908,51390,0
196,195000,32346,29198,28695,27969,36790,33535,48660,6201,44693,0
197,196000,32711,30206,27421,27505,35658,35133,53833,9218,37223,0
198,197000,32654,31486,26301,27558,34222,36538,56918,14523,29706,0
199,198000,32208,32913,25443,28118,32619,37607,57484,21733,22880,0
200,199000,31420,34354,24937,29129,31001,38234,55521,30077,17427,0
201,200000,30362,35670,24849,30490,29525,38356,51196,38758,13888,0
202,201000,29135,36733,25175,32068,28336,37965,44988,46926,12557,0
203,202000,27854,37438,25867,33715,27555,37101,37475,53766,13606,0
204,203000,26642,37699,26863,35272,27261,35849,29384,58535,17005,0
205,204000,25616,37485,28072,36588,27479,34334,21508,61006,22208,0
206,205000,24878,36845,29375,37527,28188,32697,14626,60711,28899,0
207,206000,24508,35840,30652,37996,29317,31097,9460,57695,36362,0
208,207000,24562,34560,31776,37948,30753,29688,6378,52396,43872,0
209,208000,25007,33130,32637,37389,32359,28615,5806,45196,50694,0
210,209000,25796,31685,33146,36378,33981,27984,7761,36860,56148,0
211,210000,26857,30365,33235,35013,35462,27861,12078,28181,59692,0
212,211000,28089,29299,32907,33430,36653,28254,18281,20011,61030,0
213,212000,29373,28596,32211,31779,37434,29122,25793,13163,59988,0
214,213000,30587,28337,31211,30220,37725,30379,33889,8386,56593,0
215,214000,31611,28556,29999,28906,37502,31898,41772,5907,51389,0
216,215000,32345,29200,28695,27970,36789,33535,48661,6201,44693,0
217,216000,32710,30207,27421,27506,35657,35133,53834,9218,37222,0
218,217000,32653,31487,26301,27559,34221,36537,56918,14523,29705,0
219,218000,32207,32913,25444,28119,32618,37606,57485,21734,22879,0
220,219000,31419,34354,24938,29130,31001,38233,55521,30078,17426,0
221,220000,30362,35669,24850,30490,29526,38355,51196,38759,13887,0
222,221000,29135,36732,25176,32069,28337,37964,44988,46927,12557,0
223,222000,27854,37436,25868,33715,27556,37100,37474,53767,13606,0
224,223000,26642,37698,26864,35271,27262,35848,29382,58536,17005,0
225,224000,25617,37483,28073,36587,27481,34333,21507,61007,22208,0
226,225000,24879,36844,29375,37526,28190,32697,14625,60711,28900,0
227,226000,24510,35839,30651,37995,29318,31097,9459,57695,36363,0
228,227000,24563,34559,31775,37946,30754,29689,6377,52395,43873,0
229,228000,25008,33130,32636,37388,32360,28616,5805,45196,50695,0
230,229000,25796,31685,33145,36377,33981,27985,7761,36859,56148,0
231,230000,26858,30365,33234,35012,35461,27862,12078,28180,59693,0
232,231000,28089,29300,32906,33429,36652,28256,18281,20010,61030,0
233,232000,29373,28597,32210,31779,37433,29123,25794,13162,59988,0
234,233000,30586,28338,31210,30221,37724,30380,33890,8385,56593,0
235,234000,31610,28557,29999,28906,37501,31899,41773,5906,51389,0
236,235000,32344,29201,28695,27971,36787,33535,48662,6200,44692,0
237,236000,32709,30208,27421,27507,35656,35133,53835,9218,37221,0
238,237000,32652,31487,26302,27560,34220,36537,56919,14524,29704,0
239,238000,32206,32914,25445,28121,32618,37605,57485,21734,22878,0
240,239000,31419,34354,24939,29131,31001,38232,55521,30079,17425,0
241,240000,30361,35669,24851,30491,29526,38353,51196,38760,13886,0
242,241000,29134,36732,25177,32069,28338,37962,44987,46928,12556,0
243,242000,27854,37435,25869,33715,27557,37099,37473,53769,13606,0
244,243000,26643,37697,26865,35271,27263,35847,29381,58537,17005,0
245,244000,25618,37482,28073,36586,27482,34332,21506,61008,22209,0
246,245000,24880,36843,29376,37525,28191,32697,14624,60711,28901,0
247,246000,24511,35838,30651,37994,29319,31098,9458,57695,36364,0
248,247000,24564,34559,31774,37945,30755,29690,6376,52395,43874,0
249,248000,25009,33130,32635,37387,32360,28617,5805,45195,50696,0
250,249000,25797,31685,33144,36375,33981,27986,7761,36858,56149,0
251,250000,26858,30366,33233,35011,35461,27864,12079,28179,59694,0
252,251000,28089,29301,32905,33429,36651,28257,18282,20008,61031,0
253,252000,29373,28598,32209,31779,37432,29124,25795,13161,59988,0
254,253000,30586,28340,31209,30221,37723,30381,33891,8384,56592,0
255,254000,31609,28559,29998,28907,37499,31899,41774,5906,51388,0
256,255000,32343,29202,28695,27972,36786,33535,48664,6200,44691,0
257,256000,32708,30209,27422,27508,35655,35132,53836,9218,37220,0
258,257000,32651,31488,26302,27562,34220,36536,56920,14524,29703,0
259,258000,32204,32914,25446,28122,32618,37604,57485,21735,22877,0
260,259000,31418,34353,24940,29132,31001,38231,55521,30080,17424,0
261,260000,30360,35668,24852,30492,29527,38352,51196,38761,13886,0
262,261000,29134,36731,25178,32069,28339,37961,44986,46929,12556,0
263,262000,27854,37434,25870,33715,27558,37098,37472,53770,13605,0
264,263000,26643,37695,26866,35270,27265,35847,29380,58538,17005,0
265,264000,25618,37481,28073,36585,27483,34332,21505,61009,22209,0
266,265000,24881,36842,29376,37524,28192,32697,14623,60712,28901,0
267,266000,24512,35837,30651,37993,29320,31098,9457,57695,36365,0
268,267000,24565,34558,31774,37944,30755,29690,6376,52395,43875,0
269,268000,25010,33129,32634,37385,32360,28618,5804,45194,50697,0
270,269000,25798,31685,33143,36374,33981,27987,7761,36857,56150,0
271,270000,26859,30366,33232,35011,35460,27865,12079,28178,59694,0
272,271000,28090,29302,32904,33428,36651,28258,18283,20007,61031,0
273,272000,29373,28599,32208,31779,37431,29126,25796,13160,59988,0
274,273000,30585,28341,31208,30221,37721,30382,33892,8383,56592,0
275,274000,31609,28560,29998,28908,37498,31900,41775,5905,51388,0
276,275000,32342,29203,28695,27973,36785,33536,48665,6200,44690,0
277,276000,32707,30210,27422,27510,35654,35132,53837,9218,37219,0
278,277000,32650,31489,26303,27563,34219,36535,56921,14525,29702,0
279,278000,32203,32914,25447,28123,32617,37603,57486,21736,22876,0
280,279000,31417,34353,24941,29133,31002,38230,55521,30081,17424,0
281,280000,30360,35668,24853,30493,29527,38351,51196,38762,13885,0
282,281000,29134,36730,25180,32070,28340,37960,44986,46931,12555,0
283,282000,27854,37433,25871,33715,27560,37097,37472,53771,13605,0
284,283000,26643,37694,26866,35270,27266,35846,29379,58539,17005,0
285,284000,25619,37479,28074,36585,27485,34331,21504,61009,22210,0
286,285000,24882,36840,29376,37523,28193,32697,14622,60712,28902,0
287,286000,24513,35836,30651,37991,29321,31098,9456,57695,36366,0
288,287000,24566,34557,31773,37942,30756,29691,6375,52394,43876,0
289,288000,25012,33129,32634,37384,32361,28619,5804,45194,50698,0
290,289000,25799,31685,33142,36373,33981,27988,7761,36856,56151,0
291,290000,26860,30367,33231,35010,35460,27866,12079,28176,59695,0
292,291000,28090,29303,32902,33428,36650,28259,18283,20006,61032,0
293,292000,29373,28600,32207,31779,37429,29127,25797,13159,59989,0
294,293000,30585,28342,31208,30222,37720,30382,33893,8382,56592,0
295,294000,31608,28561,29997,28909,37497,31900,41776,5904,51388,0
296,295000,32341,29204,28695,27974,36784,33536,48666,6199,44690,0
297,296000,32706,30211,27422,27511,35653,35132,53838,9218,37218,0
298,297000,32649,31489,26304,27564,34219,36535,56921,14525,29701,0
299,298000,32202,32914,25447,28124,32617,37602,57486,21736,22875,0
300,299000,31416,34353,24942,29134,31002,38228,55521,30082,17423,0
301,300000,30359,35667,24854,30494,29528,38350,51195,38763,13884,0
302,301000,29133,36729,25181,32070,28341,37958,44985,46932,12555,0
303,302000,27854,37432,25872,33715,27561,37095,37471,53772,13605,0
304,303000,26644,37693,26867,35270,27267,35845,29378,58540,17005,0
305,304000,25620,37478,28074,36584,27486,34331,21503,61010,22210,0
306,305000,24883,36839,29376,37522,28194,32696,14621,60713,28903,0
307,306000,24514,35835,30650,37990,29322,31098,9455,57695,36367,0
308,307000,24568,34557,31773,37941,30757,29692,6374,52394,43877,0
309,308000,25013,33129,32633,37383,32361,28620,5803,45193,50699,0
310,309000,25800,31685,33141,36372,33981,27990,7761,36855,56152,0
311,310000,26861,30367,33230,35009,35459,27867,12079,28175,59696,0
312,311000,28090,29303,32901,33427,36649,28261,18284,20005,61032,0
313,312000,29373,28602,32206,31779,37428,29128,25797,13158,59989,0
314,313000,30585,28344,31207,30222,37719,30383,33894,8381,56592,0
315,314000,31607,28562,29997,28909,37496,31901,41777,5904,51387,0
316,315000,32340,29206,28695,27975,36783,33536,48667,6199,44689,0
317,316000,32705,30212,27422,27512,35652,35132,53839,9218,37217,0
318,317000,32648,31490,26304,27566,34218,36534,56922,14525,29700,0
319,318000,32201,32915,25448,28126,32617,37601,57487,21737,22874,0
320,319000,31415,34353,24943,29135,31002,38227,55522,30083,17422,0
321,320000,30358,35667,24856,30494,29528,38348,51195,38764,13883,0
322,321000,29133,36728,25182,32071,28341,37957,44985,46933,12554,0
323,322000,27854,37431,25873,33715,27562,37094,37470,53773,13605,0
324,323000,26644,37692,26868,35269,27268,35844,29377,58541,17005,0
325,324000,25620,37477,28075,36583,27487,34330,21502,61011,22210,0
326,325000,24884,36838,29376,37521,28195,32696,14620,60713,28903,0
327,326000,24515,35834,30650,37989,29323,31099,9454,57695,36368,0
328,327000,24569,34556,31772,37940,30757,29692,6373,52394,43878,0
329,328000,25014,33128,32632,37382,32361,28620,5803,45192,50700,0
330,329000,25801,31686,33140,36371,33981,27991,7761,36854,56153,0
331,330000,26861,30368,33228,35008,35459,27869,12079,28174,59697,0
332,331000,28091,29304,32900,33427,36648,28262,18284,20004,61033,0
333,332000,29373,28603,32205,31779,37427,29129,25798,13157,59989,0
334,333000,30584,28345,31206,30222,37718,30384,33895,8380,56592,0
335,334000,31606,28564,29996,28910,37494,31901,41778,5903,51387,0
336,335000,32339,29207,28695,27976,36781,33536,48668,6198,44688,0
337,336000,32703,30213,27423,27513,35651,35131,53840,9218,37216,0
338,337000,32646,31491,26305,27567,34217,36533,56923,14526,29699,0
339,338000,32200,32915,25449,28127,32617,37600,57487,21738,22873,0
340,339000,31414,34353,24944,29136,31002,38226,55522,30084,17421,0
341,340000,30357,35666,24857,30495,29529,38347,51195,38766,13882,0
342,341000,29132,36727,25183,32071,28342,37956,44984,46934,12554,0
343,342000,27854,37430,25874,33715,27563,37093,37469,53774,13605,0
344,343000,26644,37690,26869,35269,27270,35843,29377,58542,17005,0
345,344000,25621,37476,28075,36582,27488,34330,21501,61011,22211,0
346,345000,24885,36837,29376,37520,28197,32696,14619,60713,28904,0
347,346000,24516,35834,30650,37988,29324,31099,9453,57695,36369,0
348,347000,24570,34555,31771,37938,30758,29693,6373,52393,43879,0
